accessLevel,description,format,frequency,identifier,modified,title,webService
Public,Lists the datasets for this domain.  The format should correspond to the spec at http://project-open-data.github.io/schema/,application/json,hourly,https://data.cityofnewyork.us/data.json,2014-02-20,"Project Open Data, /data.json file",https://data.cityofnewyork.us/data.json
Public,https://data.cityofnewyork.us/api/views/erm2-nwe9/rows.csv?accessType=DOWNLOAD,2011-10-09,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/api/views/erm2-nwe9/rows.rss,text/csv,erm2-nwe9,"311,311 service requests,2010,2011,2012,service request status,all service requests,clean web",2014-02-20,2011-10-09,Social Services,311 Service Requests from 2010 to Present,https://data.cityofnewyork.us/resource/erm2-nwe9,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","311,311 service requests,2010,2011,2012,service request status,all service requests,clean web"
Public,https://data.cityofnewyork.us/api/views/tdsx-cvye/rows.csv?accessType=DOWNLOAD,2012-11-20,https://data.cityofnewyork.us/api/views/tdsx-cvye/rows.rss,text/csv,tdsx-cvye,"opendata catalog,catalog,dcat,datasets,directory",2014-02-06,2012-11-20,NYC OpenData Catalog,https://data.cityofnewyork.us/resource/datasets,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","opendata catalog,catalog,dcat,datasets,directory"
Public,https://data.cityofnewyork.us/api/views/mreg-rk5p/rows.csv?accessType=DOWNLOAD,2011-10-10,Data on programs in NYC High Schools,https://data.cityofnewyork.us/api/views/mreg-rk5p/rows.rss,text/csv,mreg-rk5p,"doe,programs,nyc,data,lifelong learning",2013-11-27,2011-10-10,Education,NYC Public High School Program Data,https://data.cityofnewyork.us/resource/mreg-rk5p,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","doe,programs,nyc,data,lifelong learning"
Public,https://data.cityofnewyork.us/api/views/fuvx-wqd7/rows.csv?accessType=DOWNLOAD,2011-10-10,"2011-2012 NYC Family Guides

Update schedule: As required",https://data.cityofnewyork.us/api/views/fuvx-wqd7/rows.rss,text/csv,fuvx-wqd7,"doe,famil guide,program,language,url,info,education,school,lifelong learning",2013-03-19,2011-10-10,Education,2011-2012 NYC Family Guides,https://data.cityofnewyork.us/resource/fuvx-wqd7,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","doe,famil guide,program,language,url,info,education,school,lifelong learning"
Public,http://www.nyc.gov/html/sbs/downloads/datasets/sbs_certified_businesses.xls,2011-09-29,"The Cityâs certification programs, including the Minority and Women-owned Business Enterprise (M/WBE) Program, the Emerging Business Enterprise (EBE) Program and the Locally-based Business Enterprise (LBE) Program certify, promote, and foster the growth of the Cityâs minority and women-owned businesses and eligible small construction and construction-related businesses.  Companies that become certified obtain greater access to and information about contracting opportunities, receive technical assistance to better compete for those opportunities, and benefit from inclusion in the Cityâs Online Directory of Certified Firms.

This list contains detailed information on certified companies, including a brief description of their work history, contact information, and detailed information about what the companies sell.",application/vnd.ms-excel,ihuv-47uq,,2013-10-08,2011-09-29,Business,"M/WBE, LBE, and EBE Certified Business List",[object Object]
Public,https://data.cityofnewyork.us/api/file_data/ETnR_fRuEg8xPKJFhj5mOMT7R3vL_QHNi_HWUJZ4RfM?filename=DOITT_DYCD_LITERACY.zip,2013-04-05,DYCD Literacy,application/zip; charset=binary,ty8z-v9d2,"geographic,location,map,cartography,basemap,literacy,youth",2013-07-01,2013-04-05,Education,DYCD Literacy,[object Object],"geographic,location,map,cartography,basemap,literacy,youth"
Public,https://data.cityofnewyork.us/api/file_data/g5iiDl27zmKcETR-hHG58WnVB4ZKgnCUMwnK_dHW2AY?filename=NYCGO_museums+and+galleries_001.xml,2011-07-26,NYC and Co. museums and galleries,application/xml; charset=us-ascii,kcrm-j9hh,"new york,nycgo,new york & company,new york & co.,co.,museum,museums,gallery,galleries,xml,data,nyc,the city",2014-01-08,2011-07-26,Recreation,Museums and galleries,[object Object],"new york,nycgo,new york & company,new york & co.,co.,museum,museums,gallery,galleries,xml,data,nyc,the city"
Public,https://data.cityofnewyork.us/api/views/mbd7-jfnc/rows.csv?accessType=DOWNLOAD,2011-08-31,"After-school programs in New York City, organized by various categories and for various audiences.
Update Frequency: Annually",https://data.cityofnewyork.us/api/views/mbd7-jfnc/rows.rss,text/csv,mbd7-jfnc,"jobs and economic mobility,education,services,youth,community,development,school,child,children,lifelong learning",2014-01-06,2011-08-31,Education,DYCD after-school programs,https://data.cityofnewyork.us/resource/mbd7-jfnc,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","jobs and economic mobility,education,services,youth,community,development,school,child,children,lifelong learning"
Public,https://data.cityofnewyork.us/api/views/w9cy-nnma/rows.csv?accessType=DOWNLOAD,2011-09-02,"Facilities in New York City, by agency and site, that offer after-school programs and resources for adult and adolescent literacy, family literacy, and English as a Second Language (ESOL) programs.
Update Schedule: Annually",https://data.cityofnewyork.us/api/views/w9cy-nnma/rows.rss,text/csv,w9cy-nnma,"jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,after-school programs,programs,young adult,civics,literacy,esol,esl,english as a second language,english language program,adult literacy,adolescent literacy,family literacy,english for speakers of other languages,immigrant rights,learning,lifelong learning",2013-03-19,2011-09-02,Education,DYCD after-school programs: Reading And Writing Literacy Programs,https://data.cityofnewyork.us/resource/w9cy-nnma,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","jobs and economic mobility,education,services,youth,community,development,community development,school,child,children,after-school,after-school programs,programs,young adult,civics,literacy,esol,esl,english as a second language,english language program,adult literacy,adolescent literacy,family literacy,english for speakers of other languages,immigrant rights,learning,lifelong learning"
Public,http://207.251.86.229/nyc-links-cams/LinkSpeedQuery.txt,2011-10-10,"NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management.",text/plain,xsat-x5sa,"vehicles,car,bus,automobile,truck,clean web",2014-02-12,2011-10-10,Transportation,Real-Time Traffic Speed Data,[object Object],"vehicles,car,bus,automobile,truck,clean web"
