Name,"Population (Census est or ACS, 2011)",Ownership?,Open Data Law?,Link ,Type 
De Leon,2233,Government ,No,http://deleon.socrata.com,US City or County
Belleville,3951,Government,No,https://data.illinois.gov/belleville,US City or County
Gilpin County,5467,Community ,No,http://data.opencolorado.org/group/gilpin-county,US City or County
Weatherford,25557,Government,Yes,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,US City or County
Redmond,26646,Government,No,http://data.redmond.gov,US City or County
Champaign,39795,Government,No,https://data.illinois.gov/champaign,US City or County
Wellington,57163,Government,No,https://data.wellingtonfl.gov/,US City or County
Santa Cruz,60342,Government,No,http://data.cityofsantacruz.com,US City or County  
Palo Alto,64408,Government,No,http://data.cityofpaloalto.org/,US City or County
Somerville ,76519,Government,No,http://data.somervillema.gov,US City or County
Arvada,83433,Government,No,http://arvada.org/opendata/,US City or County
Asheville,84458,Government,No,http://opendatacatalog.ashevillenc.gov/,US City or County
South Bend ,101000,Government,Yes,https://data.southbendin.gov/,US City or County
Ann Arbor,114925,Government,No,http://www.a2gov.org/data/,US City or County
Rockford,152222,Government,No,https://data.illinois.gov/rockford,US City or County
Salt Lake City,186443,Government,No,http://data.slcgov.com,US City or County
Scottsdale,221020,Government,No,http://data.scottsdaleaz.gov/,US City or County
Madison,236901,Government,Yes,http://data.cityofmadison.com,US City or County  
Cincinnati ,296223,Community ,No,http://www.opendatacincy.org/,US City or County
New Orleans,321409,Government,No,http://data.nola.gov,US City or County 
Oakland,389397,Government,Yes,http://data.oaklandnet.com,US City or County 
Raleigh ,395091,Government,Yes,http://data.raleighnc.gov,US City or County
Atlanta,419250,Government,No,http://gis.atlantaga.gov/,US City or County
Montgomery County,455761,Government,Yes,https://data.montgomerycountymd.gov/,US City or County
Kansas City,457551,Community ,No,https://data.kcmo.org/,US City or County
Lexington,457551,Government,Yes,http://www.lexingtonky.gov/index.aspx?page=4Yes6,US City or County
Maine,462257,Government,No,http://www.maine.gov/data/,US State
Albuquerque,539000,Government,No,http://www.cabq.gov/abq-data/,US City or County
Portland,583778,Community ,Yes,http://civicapps.org/datasets/,US City or County
Providence,583778,Government,Yes,https://data.providenceri.gov/,US City or County
Louisville,592529,Government,Yes,http://portal.louisvilleky.gov/service/data,US City or County
Denver,600024,Government,No,http://data.denvergov.org,US City or County  
Boston,609942,Government,No,http://www.cityofboston.gov/doit/databoston/app/data_disclaimer.asp,US City or County
Boston GIS Data Hub,609942,Government,No,https://data.cityofboston.gov/,US City or County
Baltimore ,620210,Government,No,http://data.baltimorecity.gov,US City or County  
Seattle ,620778,Government,No,http://data.seattle.gov,US City or County
North Dakota GIS Hub,683932,Government,No,http://www.nd.gov/gis/,Other State Related
Snohomish County ,722400,Government,No,http://data.snostat.org,US City or County
San Mateo County Open Checkbook,727209,Government,No,https://data.smcgov.org/,US City or County
San Francisco ,797983,Government,Yes,http://data.sfgov.org,US City or County
"Washington, D.C. [Open Data DC]",797983,Community ,No,http://www.opendatadc.org/,US District 
"Washington, District of Columbia",797983,Government,Yes,http://data.dc.gov/,US District 
Austin,820611,Government,Yes,http://data.austintexas.gov,US City or County  
South Dakota,824082,Government,No,http://open.sd.gov/,US State
Delaware,907135,Government,No,http://www.delaware.gov/data/,US State
Wake County,929780,Government,No,http://www.wakegov.com/data/Pages/default.aspx,US City or County
Honolulu,944287,Government,in progress,https://data.honolulu.gov/,US City or County
Rhode Island,1051302,Government,No,http://www.ri.gov/data/,US State
San Diego ,1307402,Community ,in progress,http://catalog.opensandiego.org/,US City or County
New Hampshire,1318194,Community ,Yes,http://nhopengov.org/,US State
Hawaii ,1374810,Government,Yes,http://data.hawaii.gov,US State
Hawaii GIS,1374810,Government,Yes,http://gis.hicentral.com/,Other State Related
Hawaii Open Data,1374810,Community ,Yes,http://hawaiiopendata.com/,US State
Philadelphia,1514456,Community ,Yes,http://www.opendataphilly.org/,US State
Nebraska,1842641,Government,in progress,http://www.nebraska.gov/data/,US State
King County ,1969722,Government,No,http://data.kingcounty.gov,US City or County 
King County Election Data ,1969722,Government,No,http://electionsdata.kingcounty.gov,Other County Related
New Mexico,2082224,Government,No,http://www.sunshineportalnm.com/,US State
Houston ,2089090,Government ,No,http://data.codeforhouston.com,US City or County  
Chicago ,2707120,Govermnet ,Yes,http://data.cityofchicago.org,US City or County  
Utah ,2817222,Government,Yes,http://www.utah.gov/data/,US State
Kansas,2871238,Government,No,http://www.kansas.gov/KanView/,US State
Iowa,3062309,Government,No,http://data.iowa.gov/,US State
Denver Regional Council,3157520,Community ,No,http://data.opencolorado.org/group/drcog,Other State Related
Connecticut,3580709,Government ,No,http://transparency.ct.gov/html/main.asp,US State
Oklahoma,3791508,Government,No,http://www.ok.gov/about/data.html,US State
Maryland,3792647,Government,No,http://data.maryland.gov,US State
Los Angeles [Controller],3819702,Government,No,https://controllerdata.lacity.org/,US City or County
Oregon,3871859,Government,No,http://data.oregon.gov,US State
Kentucky,4369356,Government,No,http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,US State
Open Door Kentucky,4369356,Government,No,http://opendoor.ky.gov/transparency/Pages/default.aspx,US City or County
Louisiana,4574836,Government,No,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,US State
Alabama,4802740,Government ,No,http://open.alabama.gov/,US State
Colorado [Open Colorado],5116796,Community ,No,http://data.opencolorado.org,US State
Colorado,5116796,Government,No,http://data.colorado.gov,US State
Cook County ,5217080,Government ,Yes,http://cookcounty.socrata.com,US City or County 
Minnesota,5344861,Government,No,http://mn.gov/portal/,US State
Missouri,6010688,Government,No,http://data.mo.gov,US State 
Missouri Accountability Portal,6010688,Government,No,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Other State Related
Tennessee,6403353,Government,No,http://www.tn.gov/opengov/,US State
Arizona,6482505,Government,No,http://openbooks.az.gov/app/transparency/index.html,US State
Indiana,6516922,Government ,No,http://inmap.indiana.edu/viewer.htm,US State
Massachusetts,6587536,Government,No,http://www.mass.gov/data/,US State
Washington,6830038,Government,No,http://data.wa.gov,US State
Virginia ,8096604,Government,No,http://data.openva.com,US State
Virginia Data Point,8096604,Government,No,http://datapoint.apa.virginia.gov/,US State
New York City,8244910,Government,Yes,http://www.opendatanyc.com,US City or County
North Carolina OpenBook,9656401,Government,No,http://www.ncopenbook.gov/NCOpenBook/,US City or County
Chicago [Metro],9729825,Government ,No,http://www.metrochicagodata.org,US City or County
Georgia,9815210,Government,No,http://www.open.georgia.gov/,US State
Michigan,9876187,Government,No,http://www.michigan.gov/data/,US State
Ohio,11544951,Government ,in progress,http://www.sos.state.oh.us/betterLives.aspx,US State
Illinois ,12869257,Government,in progress,http://data.illinois.gov,US City or County 
Illinois South Suburban Mayors and Managers,12869257,Government,in progress,https://data.illinois.gov/ssmma,Other State Related
Florida,19057542,Government ,No,http://www.floridahasarighttoknow.com/,US State
New York,19465197,Government,Yes,https://data.ny.gov/,US State
New York Health Data ,19465197,Government,Yes,http://health.data.ny.gov,Other State Related
New York State Data Center,19465197,Government,Yes,http://esd.ny.gov/NYSDataCenter.html,Other State Related
New York Department of Health,19465197,Government,Yes,https://health.data.ny.gov/,Other State Related
New York State Senate,19465197,Government,Yes,http://www.nysenate.gov/opendata/,Other State Related
Texas,25674681,Government,No,http://www.texas.gov/en/Connect/Pages/open-data.aspx,US State
Texas [Comptroller Transparency],25674681,Government,No,http://www.texastransparency.org/opendata/index.php,Other State Related
California,37691912,Government,No,http://data.ca.gov/,US State
